frame,mode,similarity,match_045,match_060,elapsed_s,fps,frame_saved
436,ATAQUE,0.000000,0,0,23.78,16.2,0
437,ATAQUE,0.000000,0,0,23.84,16.2,0
438,ATAQUE,0.000000,0,0,23.89,16.2,0
439,ATAQUE,0.000000,0,0,23.95,16.2,0
440,ATAQUE,0.000000,0,0,24.00,18.0,1
441,ATAQUE,0.000000,0,0,24.06,18.0,0
442,ATAQUE,0.000000,0,0,24.11,18.0,0
443,ATAQUE,0.000000,0,0,24.16,18.0,0
444,ATAQUE,0.000000,0,0,24.22,18.0,0
445,ATAQUE,0.000000,0,0,24.27,18.0,1
446,ATAQUE,0.000000,0,0,24.32,18.0,0
447,ATAQUE,0.000000,0,0,24.37,18.0,0
448,ATAQUE,0.000000,0,0,24.42,18.0,0
449,ATAQUE,0.000000,0,0,24.48,18.0,0
450,ATAQUE,0.000000,0,0,24.53,18.9,1
451,ATAQUE,0.000000,0,0,24.58,18.9,0
452,ATAQUE,0.000000,0,0,24.64,18.9,0
453,ATAQUE,0.000000,0,0,24.69,18.9,0
454,ATAQUE,0.000000,0,0,24.75,18.9,0
455,ATAQUE,0.000000,0,0,24.80,18.9,1
456,ATAQUE,0.000000,0,0,24.86,18.9,0
457,ATAQUE,0.000000,0,0,24.92,18.9,0
458,ATAQUE,0.000000,0,0,24.97,18.9,0
459,ATAQUE,0.000000,0,0,25.03,18.9,0
460,ATAQUE,0.000000,0,0,25.08,18.0,1
461,ATAQUE,0.000000,0,0,25.14,18.0,0
462,ATAQUE,0.000000,0,0,25.19,18.0,0
463,ATAQUE,0.000000,0,0,25.24,18.0,0
464,ATAQUE,0.000000,0,0,25.30,18.0,0
465,ATAQUE,0.000000,0,0,25.35,18.0,1
466,ATAQUE,0.000000,0,0,25.40,18.0,0
467,ATAQUE,0.000000,0,0,25.46,18.0,0
468,ATAQUE,0.000000,0,0,25.51,18.0,0
469,ATAQUE,0.000000,0,0,25.57,18.0,0
470,ATAQUE,0.000000,0,0,25.62,18.8,1
471,ATAQUE,0.000000,0,0,25.67,18.8,0
472,ATAQUE,0.000000,0,0,25.72,18.8,0
473,ATAQUE,0.000000,0,0,25.78,18.8,0
474,ATAQUE,0.000000,0,0,25.83,18.8,0
475,ATAQUE,0.000000,0,0,25.88,18.8,1
476,ATAQUE,0.000000,0,0,25.94,18.8,0
477,ATAQUE,0.000000,0,0,25.99,18.8,0
478,ATAQUE,0.000000,0,0,26.05,18.8,0
479,ATAQUE,0.000000,0,0,26.10,18.8,0
480,ATAQUE,0.000000,0,0,26.16,18.4,1
481,ATAQUE,0.000000,0,0,26.21,18.4,0
482,ATAQUE,0.000000,0,0,26.27,18.4,0
483,ATAQUE,0.000000,0,0,26.33,18.4,0
484,ATAQUE,0.000000,0,0,26.38,18.4,0
485,ATAQUE,0.000000,0,0,26.43,18.4,1
486,ATAQUE,0.000000,0,0,26.49,18.4,0
487,ATAQUE,0.000000,0,0,26.55,18.4,0
488,ATAQUE,0.000000,0,0,26.60,18.4,0
489,ATAQUE,0.000000,0,0,26.65,18.4,0
490,ATAQUE,0.000000,0,0,26.71,18.1,1
491,ATAQUE,0.000000,0,0,26.76,18.1,0
492,ATAQUE,0.000000,0,0,26.82,18.1,0
